full_code|main_source|main_code|main_text|sub_source|sub_code|sub_text|sub_sub_source|sub_sub_code|sub_sub_text
A00-B99_A15-A19_A15|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19|A15-A19|Tuberculosis|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19/A15|A15|Respiratory tuberculosis
A00-B99_A15-A19_A17|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19|A15-A19|Tuberculosis|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19/A17|A17|Tuberculosis of nervous system
A00-B99_A15-A19_A18|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19|A15-A19|Tuberculosis|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19/A18|A18|Tuberculosis of other organs
A00-B99_A15-A19_A19|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19|A15-A19|Tuberculosis|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19/A19|A19|Miliary tuberculosis
A00-B99_A20-A28_A20|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A20|A20|Plague
A00-B99_A20-A28_A21|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A21|A21|Tularemia
A00-B99_A20-A28_A22|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A22|A22|Anthrax
A00-B99_A20-A28_A23|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A23|A23|Brucellosis
A00-B99_A20-A28_A24|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A24|A24|Glanders and melioidosis
A00-B99_A20-A28_A25|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A25|A25|Rat-bite fevers
A00-B99_A20-A28_A26|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A26|A26|Erysipeloid
A00-B99_A20-A28_A27|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A27|A27|Leptospirosis
A00-B99_A20-A28_A28|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A28|A28|Other zoonotic bacterial diseases, not elsewhere classified
A00-B99_A30-A49_A30|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A30|A30|Leprosy [Hansen's disease]
A00-B99_A30-A49_A31|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A31|A31|Infection due to other mycobacteria
A00-B99_A30-A49_A32|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A32|A32|Listeriosis
A00-B99_A30-A49_A33|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A33|A33|Tetanus neonatorum
A00-B99_A30-A49_A34|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A34|A34|Obstetrical tetanus
A00-B99_A30-A49_A35|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A35|A35|Other tetanus
A00-B99_A30-A49_A36|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A36|A36|Diphtheria
A00-B99_A30-A49_A37|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A37|A37|Whooping cough
A00-B99_A30-A49_A38|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A38|A38|Scarlet fever
A00-B99_A30-A49_A39|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A39|A39|Meningococcal infection
A00-B99_A30-A49_A40|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A40|A40|Streptococcal sepsis
A00-B99_A30-A49_A41|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A41|A41|Other sepsis
A00-B99_A30-A49_A42|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A42|A42|Actinomycosis
A00-B99_A30-A49_A43|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A43|A43|Nocardiosis
A00-B99_A30-A49_A44|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A44|A44|Bartonellosis
A00-B99_A30-A49_A46|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A46|A46|Erysipelas
A00-B99_A30-A49_A48|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A48|A48|Other bacterial diseases, not elsewhere classified
A00-B99_A30-A49_A49|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A49|A49|Bacterial infection of unspecified site
A00-B99_A50-A64_A50|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A50|A50|Congenital syphilis
A00-B99_A50-A64_A51|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A51|A51|Early syphilis
A00-B99_A50-A64_A52|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A52|A52|Late syphilis
A00-B99_A50-A64_A53|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A53|A53|Other and unspecified syphilis
A00-B99_A50-A64_A54|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A54|A54|Gonococcal infection
A00-B99_A50-A64_A55|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A55|A55|Chlamydial lymphogranuloma (venereum)
A00-B99_A50-A64_A56|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A56|A56|Other sexually transmitted chlamydial diseases
A00-B99_A50-A64_A57|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A57|A57|Chancroid
A00-B99_A50-A64_A58|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A58|A58|Granuloma inguinale
A00-B99_A50-A64_A59|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A59|A59|Trichomoniasis
A00-B99_A50-A64_A60|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A60|A60|Anogenital herpesviral [herpes simplex] infections
A00-B99_A50-A64_A63|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A63|A63|Other predominantly sexually transmitted diseases, not elsewhere classified
A00-B99_A50-A64_A64|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A64|A64|Unspecified sexually transmitted disease
A00-B99_A65-A69_A65|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69|A65-A69|Other spirochetal diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A65|A65|Nonvenereal syphilis
A00-B99_A65-A69_A66|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69|A65-A69|Other spirochetal diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A66|A66|Yaws
A00-B99_A65-A69_A67|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69|A65-A69|Other spirochetal diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A67|A67|Pinta [carate]
A00-B99_A65-A69_A68|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69|A65-A69|Other spirochetal diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A68|A68|Relapsing fevers
A00-B99_A65-A69_A69|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69|A65-A69|Other spirochetal diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A69|A69|Other spirochetal infections
A00-B99_A70-A74_A70|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74|A70-A74|Other diseases caused by chlamydiae|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74/A70|A70|Chlamydia psittaci infections
A00-B99_A70-A74_A71|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74|A70-A74|Other diseases caused by chlamydiae|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74/A71|A71|Trachoma
A00-B99_A70-A74_A74|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74|A70-A74|Other diseases caused by chlamydiae|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74/A74|A74|Other diseases caused by chlamydiae
A00-B99_A75-A79_A75|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79|A75-A79|Rickettsioses|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79/A75|A75|Typhus fever
A00-B99_A75-A79_A77|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79|A75-A79|Rickettsioses|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79/A77|A77|Spotted fever [tick-borne rickettsioses]
A00-B99_A75-A79_A78|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79|A75-A79|Rickettsioses|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79/A78|A78|Q fever
A00-B99_A75-A79_A79|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79|A75-A79|Rickettsioses|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79/A79|A79|Other rickettsioses
A00-B99_A80-A89_A80|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A80|A80|Acute poliomyelitis
A00-B99_A80-A89_A81|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A81|A81|Atypical virus infections of central nervous system
A00-B99_A80-A89_A82|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A82|A82|Rabies
A00-B99_A80-A89_A83|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A83|A83|Mosquito-borne viral encephalitis
A00-B99_A80-A89_A84|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A84|A84|Tick-borne viral encephalitis
A00-B99_A80-A89_A85|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A85|A85|Other viral encephalitis, not elsewhere classified
A00-B99_A80-A89_A86|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A86|A86|Unspecified viral encephalitis
A00-B99_A80-A89_A87|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A87|A87|Viral meningitis
A00-B99_A80-A89_A88|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A88|A88|Other viral infections of central nervous system, not elsewhere classified
A00-B99_A80-A89_A89|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89/A89|A89|Unspecified viral infection of central nervous system
A00-B99_A90-A99_A90|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99/A90|A90|Dengue fever [classical dengue]
A00-B99_A90-A99_A91|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99/A91|A91|Dengue hemorrhagic fever
A00-B99_A90-A99_A92|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99/A92|A92|Other mosquito-borne viral fevers
A00-B99_A90-A99_A93|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99/A93|A93|Other arthropod-borne viral fevers, not elsewhere classified
A00-B99_A90-A99_A94|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99/A94|A94|Unspecified arthropod-borne viral fever
A00-B99_A90-A99_A95|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99/A95|A95|Yellow fever
A00-B99_A90-A99_A96|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99/A96|A96|Arenaviral hemorrhagic fever
A00-B99_A90-A99_A98|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99/A98|A98|Other viral hemorrhagic fevers, not elsewhere classified
A00-B99_A90-A99_A99|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99/A99|A99|Unspecified viral hemorrhagic fever
A00-B99_B00-B09_B00|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B00-B09|B00-B09|Viral infections characterized by skin and mucous membrane lesions|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B00-B09/B00|B00|Herpesviral [herpes simplex] infections
