full_code|main_source|main_code|main_text|sub_source|sub_code|sub_text
A00-B99_B00-B09|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B00-B09|B00-B09|Viral infections characterized by skin and mucous membrane lesions
A00-B99_B10-B10|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B10-B10|B10-B10|Other human herpesviruses
A00-B99_B15-B19|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B15-B19|B15-B19|Viral hepatitis
A00-B99_B20-B20|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B20-B20|B20-B20|Human immunodeficiency virus [HIV] disease
A00-B99_B25-B34|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B25-B34|B25-B34|Other viral diseases
A00-B99_B35-B49|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B35-B49|B35-B49|Mycoses
A00-B99_B50-B64|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B50-B64|B50-B64|Protozoal diseases
A00-B99_B65-B83|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B65-B83|B65-B83|Helminthiases
A00-B99_B85-B89|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B85-B89|B85-B89|Pediculosis, acariasis and other infestations
A00-B99_B90-B94|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B90-B94|B90-B94|Sequelae of infectious and parasitic diseases
A00-B99_B95-B97|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B95-B97|B95-B97|Bacterial and viral infectious agents
A00-B99_B99-B99|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/B99-B99|B99-B99|Other infectious diseases
C00-D49_C00-C14|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C00-C14|C00-C14|Malignant neoplasms of lip, oral cavity and pharynx
C00-D49_C15-C26|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C15-C26|C15-C26|Malignant neoplasms of digestive organs
C00-D49_C30-C39|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C30-C39|C30-C39|Malignant neoplasms of respiratory and intrathoracic organs
C00-D49_C40-C41|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C40-C41|C40-C41|Malignant neoplasms of bone and articular cartilage
C00-D49_C43-C44|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C43-C44|C43-C44|Melanoma and other malignant neoplasms of skin
C00-D49_C45-C49|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C45-C49|C45-C49|Malignant neoplasms of mesothelial and soft tissue
C00-D49_C50-C50|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C50-C50|C50-C50|Malignant neoplasms of breast
C00-D49_C51-C58|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C51-C58|C51-C58|Malignant neoplasms of female genital organs
C00-D49_C60-C63|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C60-C63|C60-C63|Malignant neoplasms of male genital organs
C00-D49_C64-C68|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C64-C68|C64-C68|Malignant neoplasms of urinary tract
C00-D49_C69-C72|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C69-C72|C69-C72|Malignant neoplasms of eye, brain and other parts of central nervous system
C00-D49_C73-C75|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C73-C75|C73-C75|Malignant neoplasms of thyroid and other endocrine glands
C00-D49_C76-C80|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C76-C80|C76-C80|Malignant neoplasms of ill-defined, other secondary and unspecified sites
C00-D49_C7A-C7A|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C7A-C7A|C7A-C7A|Malignant neuroendocrine tumors
C00-D49_C7B-C7B|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C7B-C7B|C7B-C7B|Secondary neuroendocrine tumors
C00-D49_C81-C96|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96|C81-C96|Malignant neoplasms of lymphoid, hematopoietic and related tissue
C00-D49_D00-D09|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/D00-D09|D00-D09|In situ neoplasms
C00-D49_D10-D36|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/D10-D36|D10-D36|Benign neoplasms, except benign neuroendocrine tumors
C00-D49_D37-D48|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/D37-D48|D37-D48|Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes
C00-D49_D3A-D3A|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/D3A-D3A|D3A-D3A|Benign neuroendocrine tumors
C00-D49_D49-D49|https://www.icd10data.com/C00-D49|C00-D49|Neoplasms|https://www.icd10data.com/ICD10CM/Codes/C00-D49/D49-D49|D49-D49|Neoplasms of unspecified behavior
D50-D89_D50-D53|https://www.icd10data.com/D50-D89|D50-D89|Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism|https://www.icd10data.com/ICD10CM/Codes/D50-D89/D50-D53|D50-D53|Nutritional anemias
D50-D89_D55-D59|https://www.icd10data.com/D50-D89|D50-D89|Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism|https://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59|D55-D59|Hemolytic anemias
D50-D89_D60-D64|https://www.icd10data.com/D50-D89|D50-D89|Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism|https://www.icd10data.com/ICD10CM/Codes/D50-D89/D60-D64|D60-D64|Aplastic and other anemias and other bone marrow failure syndromes
D50-D89_D65-D69|https://www.icd10data.com/D50-D89|D50-D89|Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism|https://www.icd10data.com/ICD10CM/Codes/D50-D89/D65-D69|D65-D69|Coagulation defects, purpura and other hemorrhagic conditions
D50-D89_D70-D77|https://www.icd10data.com/D50-D89|D50-D89|Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism|https://www.icd10data.com/ICD10CM/Codes/D50-D89/D70-D77|D70-D77|Other disorders of blood and blood-forming organs
D50-D89_D78-D78|https://www.icd10data.com/D50-D89|D50-D89|Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism|https://www.icd10data.com/ICD10CM/Codes/D50-D89/D78-D78|D78-D78|Intraoperative and postprocedural complications of the spleen
D50-D89_D80-D89|https://www.icd10data.com/D50-D89|D50-D89|Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism|https://www.icd10data.com/ICD10CM/Codes/D50-D89/D80-D89|D80-D89|Certain disorders involving the immune mechanism
E00-E89_E00-E07|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E00-E07|E00-E07|Disorders of thyroid gland
E00-E89_E08-E13|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E08-E13|E08-E13|Diabetes mellitus
E00-E89_E15-E16|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E15-E16|E15-E16|Other disorders of glucose regulation and pancreatic internal secretion
E00-E89_E20-E35|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E20-E35|E20-E35|Disorders of other endocrine glands
E00-E89_E36-E36|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E36-E36|E36-E36|Intraoperative complications of endocrine system
E00-E89_E40-E46|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E40-E46|E40-E46|Malnutrition
E00-E89_E50-E64|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E50-E64|E50-E64|Other nutritional deficiencies
E00-E89_E65-E68|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E65-E68|E65-E68|Overweight, obesity and other hyperalimentation
E00-E89_E70-E88|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E70-E88|E70-E88|Metabolic disorders
E00-E89_E89-E89|https://www.icd10data.com/E00-E89|E00-E89|Endocrine, nutritional and metabolic diseases|https://www.icd10data.com/ICD10CM/Codes/E00-E89/E89-E89|E89-E89|Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified
F01-F99_F01-F09|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F01-F09|F01-F09|Mental disorders due to known physiological conditions
F01-F99_F10-F19|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F10-F19|F10-F19|Mental and behavioral disorders due to psychoactive substance use
F01-F99_F20-F29|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F20-F29|F20-F29|Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders
F01-F99_F30-F39|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F30-F39|F30-F39|Mood [affective] disorders
F01-F99_F40-F48|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F40-F48|F40-F48|Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders
F01-F99_F50-F59|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59|F50-F59|Behavioral syndromes associated with physiological disturbances and physical factors
F01-F99_F60-F69|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F60-F69|F60-F69|Disorders of adult personality and behavior
F01-F99_F70-F79|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F70-F79|F70-F79|Intellectual disabilities
F01-F99_F80-F89|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F80-F89|F80-F89|Pervasive and specific developmental disorders
F01-F99_F90-F98|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F90-F98|F90-F98|Behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F01-F99_F99-F99|https://www.icd10data.com/F01-F99|F01-F99|Mental, Behavioral and Neurodevelopmental disorders|https://www.icd10data.com/ICD10CM/Codes/F01-F99/F99-F99|F99-F99|Unspecified mental disorder
G00-G99_G00-G09|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G00-G09|G00-G09|Inflammatory diseases of the central nervous system
G00-G99_G10-G14|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G10-G14|G10-G14|Systemic atrophies primarily affecting the central nervous system
G00-G99_G20-G26|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G20-G26|G20-G26|Extrapyramidal and movement disorders
G00-G99_G30-G32|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G30-G32|G30-G32|Other degenerative diseases of the nervous system
G00-G99_G35-G37|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G35-G37|G35-G37|Demyelinating diseases of the central nervous system
G00-G99_G40-G47|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G40-G47|G40-G47|Episodic and paroxysmal disorders
G00-G99_G50-G59|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G50-G59|G50-G59|Nerve, nerve root and plexus disorders
G00-G99_G60-G65|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G60-G65|G60-G65|Polyneuropathies and other disorders of the peripheral nervous system
G00-G99_G70-G73|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G70-G73|G70-G73|Diseases of myoneural junction and muscle
G00-G99_G80-G83|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G80-G83|G80-G83|Cerebral palsy and other paralytic syndromes
G00-G99_G89-G99|https://www.icd10data.com/G00-G99|G00-G99|Diseases of the nervous system|https://www.icd10data.com/ICD10CM/Codes/G00-G99/G89-G99|G89-G99|Other disorders of the nervous system
H00-H59_H00-H05|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H00-H05|H00-H05|Disorders of eyelid, lacrimal system and orbit
H00-H59_H10-H11|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H10-H11|H10-H11|Disorders of conjunctiva
H00-H59_H15-H22|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H15-H22|H15-H22|Disorders of sclera, cornea, iris and ciliary body
H00-H59_H25-H28|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28|H25-H28|Disorders of lens
H00-H59_H30-H36|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H30-H36|H30-H36|Disorders of choroid and retina
H00-H59_H40-H42|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H40-H42|H40-H42|Glaucoma
H00-H59_H43-H44|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H43-H44|H43-H44|Disorders of vitreous body and globe
H00-H59_H46-H47|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H46-H47|H46-H47|Disorders of optic nerve and visual pathways
H00-H59_H49-H52|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H49-H52|H49-H52|Disorders of ocular muscles, binocular movement, accommodation and refraction
H00-H59_H53-H54|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H53-H54|H53-H54|Visual disturbances and blindness
H00-H59_H55-H57|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H55-H57|H55-H57|Other disorders of eye and adnexa
H00-H59_H59-H59|https://www.icd10data.com/H00-H59|H00-H59|Diseases of the eye and adnexa|https://www.icd10data.com/ICD10CM/Codes/H00-H59/H59-H59|H59-H59|Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified
H60-H95_H60-H62|https://www.icd10data.com/H60-H95|H60-H95|Diseases of the ear and mastoid process|https://www.icd10data.com/ICD10CM/Codes/H60-H95/H60-H62|H60-H62|Diseases of external ear
H60-H95_H65-H75|https://www.icd10data.com/H60-H95|H60-H95|Diseases of the ear and mastoid process|https://www.icd10data.com/ICD10CM/Codes/H60-H95/H65-H75|H65-H75|Diseases of middle ear and mastoid
H60-H95_H80-H83|https://www.icd10data.com/H60-H95|H60-H95|Diseases of the ear and mastoid process|https://www.icd10data.com/ICD10CM/Codes/H60-H95/H80-H83|H80-H83|Diseases of inner ear
H60-H95_H90-H94|https://www.icd10data.com/H60-H95|H60-H95|Diseases of the ear and mastoid process|https://www.icd10data.com/ICD10CM/Codes/H60-H95/H90-H94|H90-H94|Other disorders of ear
H60-H95_H95-H95|https://www.icd10data.com/H60-H95|H60-H95|Diseases of the ear and mastoid process|https://www.icd10data.com/ICD10CM/Codes/H60-H95/H95-H95|H95-H95|Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified
I00-I99_I00-I02|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I00-I02|I00-I02|Acute rheumatic fever
I00-I99_I05-I09|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I05-I09|I05-I09|Chronic rheumatic heart diseases
I00-I99_I10-I1A|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I10-I1A|I10-I1A|Hypertensive diseases
I00-I99_I20-I25|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I20-I25|I20-I25|Ischemic heart diseases
I00-I99_I26-I28|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I26-I28|I26-I28|Pulmonary heart disease and diseases of pulmonary circulation
I00-I99_I30-I5A|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I30-I5A|I30-I5A|Other forms of heart disease
I00-I99_I60-I69|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I60-I69|I60-I69|Cerebrovascular diseases
I00-I99_I70-I79|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I70-I79|I70-I79|Diseases of arteries, arterioles and capillaries
I00-I99_I80-I89|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I80-I89|I80-I89|Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified
I00-I99_I95-I99|https://www.icd10data.com/I00-I99|I00-I99|Diseases of the circulatory system|https://www.icd10data.com/ICD10CM/Codes/I00-I99/I95-I99|I95-I99|Other and unspecified disorders of the circulatory system
J00-J99_J00-J06|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J00-J06|J00-J06|Acute upper respiratory infections
J00-J99_J09-J18|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J09-J18|J09-J18|Influenza and pneumonia
J00-J99_J20-J22|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J20-J22|J20-J22|Other acute lower respiratory infections
J00-J99_J30-J39|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J30-J39|J30-J39|Other diseases of upper respiratory tract
J00-J99_J40-J4A|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J40-J4A|J40-J4A|Chronic lower respiratory diseases
J00-J99_J60-J70|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J60-J70|J60-J70|Lung diseases due to external agents
J00-J99_J80-J84|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J80-J84|J80-J84|Other respiratory diseases principally affecting the interstitium
J00-J99_J85-J86|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J85-J86|J85-J86|Suppurative and necrotic conditions of the lower respiratory tract
J00-J99_J90-J94|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J90-J94|J90-J94|Other diseases of the pleura
J00-J99_J95-J95|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J95-J95|J95-J95|Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified
J00-J99_J96-J99|https://www.icd10data.com/J00-J99|J00-J99|Diseases of the respiratory system|https://www.icd10data.com/ICD10CM/Codes/J00-J99/J96-J99|J96-J99|Other diseases of the respiratory system
K00-K95_K00-K14|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K00-K14|K00-K14|Diseases of oral cavity and salivary glands
K00-K95_K20-K31|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K20-K31|K20-K31|Diseases of esophagus, stomach and duodenum
K00-K95_K35-K38|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K35-K38|K35-K38|Diseases of appendix
K00-K95_K40-K46|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K40-K46|K40-K46|Hernia
K00-K95_K50-K52|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K50-K52|K50-K52|Noninfective enteritis and colitis
K00-K95_K55-K64|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K55-K64|K55-K64|Other diseases of intestines
K00-K95_K65-K68|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K65-K68|K65-K68|Diseases of peritoneum and retroperitoneum
K00-K95_K70-K77|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K70-K77|K70-K77|Diseases of liver
K00-K95_K80-K87|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K80-K87|K80-K87|Disorders of gallbladder, biliary tract and pancreas
K00-K95_K90-K95|https://www.icd10data.com/K00-K95|K00-K95|Diseases of the digestive system|https://www.icd10data.com/ICD10CM/Codes/K00-K95/K90-K95|K90-K95|Other diseases of the digestive system
L00-L99_L00-L08|https://www.icd10data.com/L00-L99|L00-L99|Diseases of the skin and subcutaneous tissue|https://www.icd10data.com/ICD10CM/Codes/L00-L99/L00-L08|L00-L08|Infections of the skin and subcutaneous tissue
